id,building_id,floor_plan_id,unit_name,property_code,description,floor_number,usage_type,primary_image_url,availability_status,created_at,updated_at
0020d043-e6a2-417b-a242-94e3e073b006,ef9721f9-57dc-4db7-898e-04005f98f089,894e04e2-a5fa-4a68-827e-c496cd04d155,3062,SB,,3,residential,,available,2025-12-06 22:16:07.788926+00,2025-12-06 22:16:07.788926+00
004e3d75-b1b8-45cd-86c5-d6c214c9e582,ef9721f9-57dc-4db7-898e-04005f98f089,894e04e2-a5fa-4a68-827e-c496cd04d155,3061,SB,,3,residential,,available,2025-12-06 22:16:07.788926+00,2025-12-06 22:16:07.788926+00
0099115f-1266-426b-8420-a577b1b2a735,f31f982a-bfdc-4fa4-a069-0a0e54c25ad3,9687b044-ae38-4503-8f5b-4e0c4c1b36e1,2028,RS,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
00a6c9cd-452d-4863-8c8a-d958b25f100b,8c057524-3379-493b-b419-3b2a42d4f64b,b628858a-1e91-43c3-a264-a9d4d8b990fe,1127,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
00aec33e-91a8-41ef-8f0f-76497d66e4aa,74d55278-8744-47e1-ac91-693bf95993d1,c8620203-748f-4fc0-850c-111ee4270dcb,S190,OB,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0168a730-0182-4f42-ba3a-657afd002210,47e8faac-651c-40b9-907b-94ec0b10e696,45696361-6865-4939-b45f-052e5ef3772d,S083,OB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0178946d-d6a2-4eff-9766-f10ce2d26178,74d55278-8744-47e1-ac91-693bf95993d1,c8620203-748f-4fc0-850c-111ee4270dcb,S189,OB,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
019459dd-a5f4-4e1a-b0c1-a1a37c16877c,540668d7-75c0-4a5e-a84c-99dba77dc720,cb81a89d-0e44-42f0-8438-78a5553269ef,2008,RS,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
01d1a5fe-ed2b-4f7a-8800-a432537c1b06,0282fd2a-bede-4657-8642-024c3a8e74a9,45696361-6865-4939-b45f-052e5ef3772d,S168,OB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
01e01fa8-483e-4df8-a009-5a3ca04fb68f,f2be0fe5-d638-4a04-a007-8bebdae37866,6acb9a92-fc81-4cd5-9ba0-91a523e5aca5,1105,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0212afb0-13f0-4546-a204-08e6785ec11e,540668d7-75c0-4a5e-a84c-99dba77dc720,e3120bdb-2ecb-498d-82d8-54b620a8d863,1005,RS,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0228d569-d4c2-4352-a20b-627f01b8c78f,e3164675-bafb-4741-a95c-dfa61e549930,cb81a89d-0e44-42f0-8438-78a5553269ef,2125,RS,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
023ea31c-9f88-4250-8e47-28bb4b367421,3ed39b03-722e-4ef6-82ca-72a20f8c0e77,b628858a-1e91-43c3-a264-a9d4d8b990fe,1087,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0279118e-c9ef-42e0-9902-2ce9e096e37c,d2e28407-ed62-4456-863e-1a608585789a,22741823-ecdf-4454-8607-4fe78ed8d337,2138,RS,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
02e18e36-45fa-416d-80b5-4d0c988fd3a0,013f3e9a-35e7-4acc-a02a-ab5d2d03606f,e3120bdb-2ecb-498d-82d8-54b620a8d863,3057,RS,,3,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
02f6d764-5ee7-43d6-97d1-947bc27b055f,2c88aa6f-c60b-4341-984d-d53aa18d16c0,b880fd88-dc5b-4bda-89d1-f5edf3d8aefb,S029,OB,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
030c2798-b8f3-4518-999f-b593a8b22055,07711183-0f10-4d28-b6f4-9b2b9cd22d1d,16a87b97-91f4-4015-932e-7efc4e9dd0a9,1099,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0338abd6-222f-4479-9a65-1aefa417349f,83b9b497-2158-477f-8e1e-b7bb1268f47a,b628858a-1e91-43c3-a264-a9d4d8b990fe,3071,SB,,3,residential,,available,2025-12-06 22:16:07.788926+00,2025-12-06 22:16:07.788926+00
0370dc63-7cf1-42a9-b4da-c098b4a580af,252092b1-d39a-425c-9f89-0ed2de93573b,16a87b97-91f4-4015-932e-7efc4e9dd0a9,3044,SB,,3,residential,,available,2025-12-06 22:16:07.788926+00,2025-12-06 22:16:07.788926+00
0448aef7-cbd7-4acc-85ee-66bd4c42e860,27fe63c5-88af-4b01-ab17-171f701db0f0,d9ce3e6a-e4c6-48b2-a84d-2d19e926636d,C111,CV,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0523adde-005b-4611-a531-8ae70a6bf139,540668d7-75c0-4a5e-a84c-99dba77dc720,e3120bdb-2ecb-498d-82d8-54b620a8d863,1013,RS,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
053491d0-3130-425f-b371-20fbf8dbde28,7eb938c9-ffeb-4ced-bf99-ea7cc04cf99b,18fb4aeb-d73f-4953-ad0d-0e23d3cdc722,1054,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0556b991-3a47-448d-a387-d071615ef011,540668d7-75c0-4a5e-a84c-99dba77dc720,9687b044-ae38-4503-8f5b-4e0c4c1b36e1,1016,RS,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
05ac906b-f9a2-43a1-a9d8-40983a861311,ed50c9cb-acde-475e-a5f6-27ecef8a915f,c8620203-748f-4fc0-850c-111ee4270dcb,S153,OB,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
05ace0ef-92d0-409b-9460-b9718682a5c1,807d38ee-fc1d-4b57-8e69-de9fe1410246,1ef9ada4-3f7a-40c6-874d-2846adb99957,460-B,WO,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
05b5c403-0c78-4aae-800c-607a4216b69d,ef9721f9-57dc-4db7-898e-04005f98f089,1c0c2def-6365-43d0-b768-c52b714fa831,1057,SB,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
0613c63b-4854-41b2-866c-10dcd4aad555,5f18441c-2cd3-4016-b7dd-3e06c45289aa,33686c92-7584-42a4-8bb1-469aeb038d62,2137,SB,,2,residential,,available,2025-12-06 22:16:07.788926+00,2025-12-06 22:16:07.788926+00
065a8b74-5c97-4b2c-8160-ab77b8f4fa81,b3aace2e-48c8-41a9-baa0-c0a36b56186f,b880fd88-dc5b-4bda-89d1-f5edf3d8aefb,S045,OB,,2,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
06624537-e73a-4778-9d9d-ad8b2cf56137,cd9fd60d-0724-4dc6-ae8f-a72ba8849d71,3c6def3a-6200-4ba4-a3b4-2eb2c459f573,1107,RS,,1,residential,,available,2025-12-06 22:16:07.390832+00,2025-12-06 22:16:07.390832+00
